participant,item,mass,answer,group,lang,native,Frequent,LIKERT,MINT,,,,NIVEL
7,peines,nm,0,L2SP,SP,0,nf,2,33,,,,
7,fuentes,nm,0,L2SP,SP,0,nf,1,33,,,,
7,sobres,nm,1,L2SP,SP,0,nf,3,33,,,,
7,leches ,m,1,L2SP,SP,0,f,4,33,,,,
7,nubes,nm,0,L2SP,SP,0,nf,4,33,,,,
7,muertes ,m,1,L2SP,SP,0,f,4,33,,,,
7,arboles,nm,1,L2SP,SP,0,f,7,33,,,,
7,buzones,nm,1,L2SP,SP,0,nf,5,33,,,,
7,calles,nm,1,L2SP,SP,0,f,5,33,,,,
7,carnes ,m,1,L2SP,SP,0,nf,1,33,,,,
7,clases,nm,1,L2SP,SP,0,f,4,33,,,,
8,lapices,nm,1,L2SP,SP,0,f,6,35,,,,I
8,jardines,nm,1,L2SP,SP,0,nf,3,35,,,,
8,coches,nm,1,L2SP,SP,0,f,2,35,,,,
8,paises,nm,1,L2SP,SP,0,f,3,35,,,,
8,caries,nm,1,L2SP,SP,0,nf,2,35,,,,
8,peines,nm,1,L2SP,SP,0,nf,2,35,,,,
8,fuentes,nm,1,L2SP,SP,0,nf,2,35,,,,
8,sobres,nm,1,L2SP,SP,0,nf,2,35,,,,
8,leches ,m,1,L2SP,SP,0,f,2,35,,,,
8,nubes,nm,1,L2SP,SP,0,nf,3,35,,,,
8,muertes ,m,1,L2SP,SP,0,f,4,35,,,,
8,arboles,nm,1,L2SP,SP,0,f,2,35,,,,
8,buzones,nm,1,L2SP,SP,0,nf,3,35,,,,
8,calles,nm,1,L2SP,SP,0,f,4,35,,,,
8,carnes ,m,1,L2SP,SP,0,nf,2,35,,,,
8,clases,nm,1,L2SP,SP,0,f,2,35,,,,
9,lapices,nm,1,L2SP,SP,0,f,7,57,,,,A
9,jardines,nm,1,L2SP,SP,0,nf,2,57,,,,
9,coches,nm,1,L2SP,SP,0,f,9,57,,,,
9,paises,nm,1,L2SP,SP,0,f,5,57,,,,
9,caries,nm,1,L2SP,SP,0,nf,4,57,,,,
9,peines,nm,1,L2SP,SP,0,nf,3,57,,,,
9,fuentes,nm,1,L2SP,SP,0,nf,1,57,,,,
9,sobres,nm,1,L2SP,SP,0,nf,1,57,,,,
9,leches ,m,1,L2SP,SP,0,f,7,57,,,,
9,nubes,nm,1,L2SP,SP,0,nf,1,57,,,,
9,muertes ,m,1,L2SP,SP,0,f,5,57,,,,
9,arboles,nm,1,L2SP,SP,0,f,9,57,,,,
9,buzones,nm,1,L2SP,SP,0,nf,3,57,,,,
9,calles,nm,1,L2SP,SP,0,f,4,57,,,,
9,carnes ,m,1,L2SP,SP,0,nf,7,57,,,,
9,clases,nm,1,L2SP,SP,0,f,4,57,,,,
10,lapices,nm,1,L2SP,SP,0,f,4,23,,,,B
10,jardines,nm,1,L2SP,SP,0,nf,2,23,,,,
10,coches,nm,1,L2SP,SP,0,f,7,23,,,,
10,paises,nm,1,L2SP,SP,0,f,3,23,,,,
10,caries,nm,1,L2SP,SP,0,nf,2,23,,,,
10,peines,nm,1,L2SP,SP,0,nf,2,23,,,,
10,fuentes,nm,1,L2SP,SP,0,nf,2,23,,,,
10,sobres,nm,1,L2SP,SP,0,nf,2,23,,,,
10,leches ,m,1,L2SP,SP,0,f,2,23,,,,
10,nubes,nm,1,L2SP,SP,0,nf,2,23,,,,
10,muertes ,m,1,L2SP,SP,0,f,3,23,,,,
10,arboles,nm,1,L2SP,SP,0,f,3,23,,,,
10,buzones,nm,1,L2SP,SP,0,nf,2,23,,,,
10,calles,nm,1,L2SP,SP,0,f,3,23,,,,
10,carnes ,m,1,L2SP,SP,0,nf,2,23,,,,
10,clases,nm,1,L2SP,SP,0,f,3,23,,,,
11,lapices,nm,1,L2SP,SP,0,f,6,27,,,,I
11,jardines,nm,0,L2SP,SP,0,nf,4,27,,,,
11,coches,nm,1,L2SP,SP,0,f,7,27,,,,
11,paises,nm,1,L2SP,SP,0,f,5,27,,,,
11,caries,nm,1,L2SP,SP,0,nf,3,27,,,,
11,peines,nm,0,L2SP,SP,0,nf,3,27,,,,
11,fuentes,nm,1,L2SP,SP,0,nf,3,27,,,,
11,sobres,nm,1,L2SP,SP,0,nf,4,27,,,,
11,leches ,m,1,L2SP,SP,0,f,4,27,,,,
11,nubes,nm,0,L2SP,SP,0,nf,3,27,,,,
11,muertes ,m,1,L2SP,SP,0,f,5,27,,,,
11,arboles,nm,1,L2SP,SP,0,f,7,27,,,,
11,buzones,nm,0,L2SP,SP,0,nf,3,27,,,,
11,calles,nm,1,L2SP,SP,0,f,6,27,,,,
11,carnes ,m,1,L2SP,SP,0,nf,3,27,,,,
11,clases,nm,1,L2SP,SP,0,f,6,27,,,,
12,lapices,nm,0,L2SP,SP,0,f,4,14,,,,B
12,jardines,nm,0,L2SP,SP,0,nf,1,14,,,,
12,coches,nm,0,L2SP,SP,0,f,3,14,,,,
12,paises,nm,0,L2SP,SP,0,f,4,14,,,,
12,caries,nm,0,L2SP,SP,0,nf,3,14,,,,
12,peines,nm,0,L2SP,SP,0,nf,1,14,,,,
12,fuentes,nm,0,L2SP,SP,0,nf,1,14,,,,
12,sobres,nm,0,L2SP,SP,0,nf,2,14,,,,
12,leches ,m,1,L2SP,SP,0,f,2,14,,,,
12,nubes,nm,0,L2SP,SP,0,nf,1,14,,,,
12,muertes ,m,0,L2SP,SP,0,f,2,14,,,,
12,arboles,nm,1,L2SP,SP,0,f,1,14,,,,
12,buzones,nm,0,L2SP,SP,0,nf,1,14,,,,
12,calles,nm,1,L2SP,SP,0,f,4,14,,,,
12,carnes ,m,0,L2SP,SP,0,nf,1,14,,,,
12,clases,nm,0,L2SP,SP,0,f,4,14,,,,
13,lapices,nm,1,L2SP,SP,0,f,6,26,,,,B
13,jardines,nm,0,L2SP,SP,0,nf,1,26,,,,
13,coches,nm,0,L2SP,SP,0,f,7,26,,,,
13,paises,nm,0,L2SP,SP,0,f,7,26,,,,
13,caries,nm,1,L2SP,SP,0,nf,2,26,,,,
13,peines,nm,0,L2SP,SP,0,nf,1,26,,,,
13,fuentes,nm,0,L2SP,SP,0,nf,1,26,,,,
13,sobres,nm,1,L2SP,SP,0,nf,4,26,,,,
13,leches ,m,0,L2SP,SP,0,f,7,26,,,,
