participant,item,answer,group,lang,native,Frequent,LIKERT,MINT
9,coches,1,L2SP,SP,0,f,9,57
9,paises,1,L2SP,SP,0,f,5,57
9,caries,1,L2SP,SP,0,nf,4,57
9,peines,1,L2SP,SP,0,nf,3,57
9,fuentes,1,L2SP,SP,0,nf,1,57
9,sobres,1,L2SP,SP,0,nf,1,57
9,leches ,1,L2SP,SP,0,f,7,57
9,nubes,1,L2SP,SP,0,nf,1,57
9,muertes ,1,L2SP,SP,0,f,5,57
9,arboles,1,L2SP,SP,0,f,9,57
9,buzones,1,L2SP,SP,0,nf,3,57
9,calles,1,L2SP,SP,0,f,4,57
9,carnes ,1,L2SP,SP,0,nf,7,57
9,clases,1,L2SP,SP,0,f,4,57
10,lapices,1,L2SP,SP,0,f,4,23
10,jardines,1,L2SP,SP,0,nf,2,23
10,coches,1,L2SP,SP,0,f,7,23
10,paises,1,L2SP,SP,0,f,3,23
10,caries,1,L2SP,SP,0,nf,2,23
10,peines,0,L2SP,SP,0,nf,2,23
10,fuentes,1,L2SP,SP,0,nf,2,23
10,sobres,1,L2SP,SP,0,nf,2,23
10,leches ,1,L2SP,SP,0,f,2,23
10,nubes,1,L2SP,SP,0,nf,2,23
10,muertes ,0,L2SP,SP,0,f,3,23
10,arboles,1,L2SP,SP,0,f,3,23
10,buzones,1,L2SP,SP,0,nf,2,23
10,calles,1,L2SP,SP,0,f,3,23
10,carnes ,1,L2SP,SP,0,nf,2,23
10,clases,1,L2SP,SP,0,f,3,23
11,lapices,1,L2SP,SP,0,f,6,27
11,jardines,0,L2SP,SP,0,nf,4,27
11,coches,1,L2SP,SP,0,f,7,27
11,paises,1,L2SP,SP,0,f,5,27
11,caries,1,L2SP,SP,0,nf,3,27
11,peines,0,L2SP,SP,0,nf,3,27
11,fuentes,0,L2SP,SP,0,nf,3,27
11,sobres,1,L2SP,SP,0,nf,4,27
11,leches ,1,L2SP,SP,0,f,4,27
11,nubes,1,L2SP,SP,0,nf,3,27
11,muertes ,1,L2SP,SP,0,f,5,27
11,arboles,1,L2SP,SP,0,f,7,27
11,buzones,0,L2SP,SP,0,nf,3,27
11,calles,1,L2SP,SP,0,f,6,27
11,carnes ,1,L2SP,SP,0,nf,3,27
11,clases,1,L2SP,SP,0,f,6,27
12,lapices,0,L2SP,SP,0,f,4,14
12,jardines,1,L2SP,SP,0,nf,1,14
12,coches,0,L2SP,SP,0,f,3,14
12,paises,0,L2SP,SP,0,f,4,14
12,caries,0,L2SP,SP,0,nf,3,14
12,peines,1,L2SP,SP,0,nf,1,14
12,fuentes,0,L2SP,SP,0,nf,1,14
12,sobres,0,L2SP,SP,0,nf,2,14
12,leches ,0,L2SP,SP,0,f,2,14
12,nubes,1,L2SP,SP,0,nf,1,14
12,muertes ,1,L2SP,SP,0,f,2,14
12,arboles,1,L2SP,SP,0,f,1,14
12,buzones,0,L2SP,SP,0,nf,1,14
12,calles,1,L2SP,SP,0,f,4,14
12,carnes ,0,L2SP,SP,0,nf,1,14
12,clases,1,L2SP,SP,0,f,4,14
13,lapices,1,L2SP,SP,0,f,6,26
13,jardines,1,L2SP,SP,0,nf,1,26
13,coches,1,L2SP,SP,0,f,7,26
13,paises,1,L2SP,SP,0,f,7,26
13,caries,1,L2SP,SP,0,nf,2,26
13,peines,0,L2SP,SP,0,nf,1,26
13,fuentes,1,L2SP,SP,0,nf,1,26
13,sobres,1,L2SP,SP,0,nf,4,26
13,leches ,1,L2SP,SP,0,f,7,26
13,nubes,1,L2SP,SP,0,nf,3,26
13,muertes ,1,L2SP,SP,0,f,7,26
13,arboles,1,L2SP,SP,0,f,7,26
13,buzones,1,L2SP,SP,0,nf,2,26
13,calles,1,L2SP,SP,0,f,7,26
13,carnes ,1,L2SP,SP,0,nf,1,26
13,clases,1,L2SP,SP,0,f,8,26
14,lapices,1,L2SP,SP,0,f,5,28
14,jardines,1,L2SP,SP,0,nf,1,28
14,coches,1,L2SP,SP,0,f,5,28
14,paises,1,L2SP,SP,0,f,3,28
14,caries,1,L2SP,SP,0,nf,2,28
14,peines,1,L2SP,SP,0,nf,1,28
14,fuentes,1,L2SP,SP,0,nf,2,28
14,sobres,1,L2SP,SP,0,nf,2,28
14,leches ,1,L2SP,SP,0,f,2,28
14,nubes,1,L2SP,SP,0,nf,2,28
14,muertes ,1,L2SP,SP,0,f,3,28
14,arboles,1,L2SP,SP,0,f,5,28
14,buzones,1,L2SP,SP,0,nf,2,28
14,calles,1,L2SP,SP,0,f,5,28
14,carnes ,1,L2SP,SP,0,nf,2,28
14,clases,1,L2SP,SP,0,f,3,28
15,lapices,1,L2SP,SP,0,f,7,19
15,jardines,1,L2SP,SP,0,nf,5,19
15,coches,0,L2SP,SP,0,f,7,19
15,paises,1,L2SP,SP,0,f,7,19
15,caries,1,L2SP,SP,0,nf,5,19
15,peines,1,L2SP,SP,0,nf,5,19
15,fuentes,0,L2SP,SP,0,nf,5,19
15,sobres,1,L2SP,SP,0,nf,4,19
15,leches ,1,L2SP,SP,0,f,5,19
15,nubes,1,L2SP,SP,0,nf,6,19
15,muertes ,1,L2SP,SP,0,f,6,19
15,arboles,1,L2SP,SP,0,f,8,19
15,buzones,0,L2SP,SP,0,nf,6,19
15,calles,1,L2SP,SP,0,f,7,19
15,carnes ,1,L2SP,SP,0,nf,5,19
15,clases,1,L2SP,SP,0,f,7,19
16,lapices,1,L2SP,SP,0,f,7,31
16,jardines,0,L2SP,SP,0,nf,1,31
16,coches,1,L2SP,SP,0,f,4,31
16,paises,1,L2SP,SP,0,f,8,31
16,caries,1,L2SP,SP,0,nf,2,31
16,peines,0,L2SP,SP,0,nf,1,31
16,fuentes,1,L2SP,SP,0,nf,1,31
16,sobres,1,L2SP,SP,0,nf,3,31
16,leches ,1,L2SP,SP,0,f,3,31
16,nubes,0,L2SP,SP,0,nf,6,31
16,muertes ,1,L2SP,SP,0,f,6,31
16,arboles,1,L2SP,SP,0,f,3,31
